image-1,image-2,t-im1,t-im2,t-diff,coord-1,coord-2,dist,vel
photo_05515.jpg,photo_07005.jpg,2022-01-15 08:26:06,2022-01-15 13:08:11,16925,"(1239.60009765625, 100.80000305175781)","(889.823486328125, 827.1177978515625)",4.915561617665587,3.6733839492014385e-05
photo_05515.jpg,photo_07464.jpg,2022-01-15 08:26:06,2022-01-15 14:36:23,22217,"(798.0, 654.0)","(821.1458129882812, 908.2369995117188)",3.9888816602299557,2.2708455344370743e-05
photo_05515.jpg,photo_07465.jpg,2022-01-15 08:26:06,2022-01-15 14:36:32,22226,"(1148.0, 455.0)","(1095.5521240234375, 653.18408203125)",5.6946280502257824,3.2406035984547686e-05
photo_05516.jpg,photo_05517.jpg,2022-01-15 08:26:15,2022-01-15 08:26:24,9,"(1263.1680908203125, 509.7600402832031)","(199.06564331054688, 87.09121704101562)",143.12161311152096,2.0113357362605746
photo_05516.jpg,photo_06312.jpg,2022-01-15 08:26:15,2022-01-15 11:05:09,9534,"(1283.55859375, 495.5904846191406)","(1308.0, 198.0)",7.464812408700088,9.902973289829948e-05
photo_05516.jpg,photo_06313.jpg,2022-01-15 08:26:15,2022-01-15 11:05:18,9543,"(1110.786376953125, 304.5704650878906)","(1110.786376953125, 304.5704650878906)",0.0,0.0
photo_05516.jpg,photo_06314.jpg,2022-01-15 08:26:15,2022-01-15 11:05:27,9552,"(1110.786376953125, 304.5704650878906)","(1117.9527587890625, 311.73681640625)",5.067386403181774,6.709830739891444e-05
photo_05516.jpg,photo_07003.jpg,2022-01-15 08:26:15,2022-01-15 13:07:54,16899,"(1262.8226318359375, 510.1056823730469)","(579.0, 363.0)",4.399160777372315,3.292537162684481e-05
photo_05516.jpg,photo_07004.jpg,2022-01-15 08:26:15,2022-01-15 13:08:03,16908,"(1262.8226318359375, 510.1056823730469)","(1042.800048828125, 673.2000122070312)",1.7334112862927173,1.2966752986178312e-05
photo_05516.jpg,photo_07005.jpg,2022-01-15 08:26:15,2022-01-15 13:08:11,16916,"(1263.1680908203125, 509.7600402832031)","(1110.0, 471.0)",1.1205405501837755,8.378219956682662e-06
photo_05516.jpg,photo_07464.jpg,2022-01-15 08:26:15,2022-01-15 14:36:23,22208,"(1312.800048828125, 602.4000244140625)","(821.1458129882812, 908.2369995117188)",11.134933284889021,6.34161726347606e-05
photo_05516.jpg,photo_07465.jpg,2022-01-15 08:26:15,2022-01-15 14:36:32,22217,"(894.2400512695312, 934.56005859375)","(1095.5521240234375, 653.18408203125)",12.35626497826013,7.034344846065361e-05
photo_05517.jpg,photo_06312.jpg,2022-01-15 08:26:24,2022-01-15 11:05:09,9525,"(193.4918212890625, 114.66181945800781)","(1275.840087890625, 348.4800109863281)",158.1879995516173,0.0021005373420775386
photo_05517.jpg,photo_06313.jpg,2022-01-15 08:26:24,2022-01-15 11:05:18,9534,"(199.20001220703125, 88.80000305175781)","(973.4310302734375, 549.4212036132812)",300.29717868635896,0.003983803981566046
photo_05517.jpg,photo_06314.jpg,2022-01-15 08:26:24,2022-01-15 11:05:27,9543,"(1110.786376953125, 304.5704650878906)","(1119.7442626953125, 311.0400695800781)",11.049864218867976,0.00014645151696556866
photo_05517.jpg,photo_07003.jpg,2022-01-15 08:26:24,2022-01-15 13:07:54,16890,"(200.16000366210938, 87.84000396728516)","(1151.0, 955.0)",116.98919768438954,0.0008760683080593006
photo_05517.jpg,photo_07004.jpg,2022-01-15 08:26:24,2022-01-15 13:08:03,16899,"(67.39200592041016, 65.66400909423828)","(1077.0, 839.0)",105.97945478761731,0.0007931996829124705
photo_05517.jpg,photo_07005.jpg,2022-01-15 08:26:24,2022-01-15 13:08:11,16907,"(68.4000015258789, 64.80000305175781)","(889.823486328125, 827.1177978515625)",93.38781749202798,0.0006986272642332584
photo_05517.jpg,photo_07464.jpg,2022-01-15 08:26:24,2022-01-15 14:36:23,22199,"(67.68000030517578, 64.80000305175781)","(635.904052734375, 632.4480590820312)",114.74042481717022,0.0006537397599385419
photo_05517.jpg,photo_07465.jpg,2022-01-15 08:26:24,2022-01-15 14:36:32,22208,"(67.68000030517578, 64.80000305175781)","(1095.5521240234375, 653.18408203125)",197.39391856511145,0.0011242067192054799
photo_06312.jpg,photo_06313.jpg,2022-01-15 11:05:09,2022-01-15 11:05:18,9,"(1302.0, 202.0)","(972.5185546875, 549.5040893554688)",119.71766654403694,1.682432273832199
photo_06312.jpg,photo_06314.jpg,2022-01-15 11:05:09,2022-01-15 11:05:27,18,"(1112.279296875, 303.5751037597656)","(1110.786376953125, 304.5704650878906)",1.7943115857225076,0.012608029409010154
photo_06312.jpg,photo_07003.jpg,2022-01-15 11:05:09,2022-01-15 13:07:54,7365,"(1308.0, 198.0)","(656.6400756835938, 160.70401000976562)",14.498373546496216,0.00024898225202455414
photo_06312.jpg,photo_07004.jpg,2022-01-15 11:05:09,2022-01-15 13:08:03,7374,"(1308.0, 198.0)","(1126.080078125, 187.20001220703125)",3.504619611463648,6.01117830835262e-05
photo_06312.jpg,photo_07005.jpg,2022-01-15 11:05:09,2022-01-15 13:08:11,7382,"(1315.2000732421875, 127.20000457763672)","(892.8094482421875, 833.0897827148438)",16.129691351229358,0.000276359165822743
photo_06312.jpg,photo_07464.jpg,2022-01-15 11:05:09,2022-01-15 14:36:23,12674,"(1291.0, 329.0)","(632.4480590820312, 634.5216674804688)",27.92196830250157,0.00027864687950926296
photo_06312.jpg,photo_07465.jpg,2022-01-15 11:05:09,2022-01-15 14:36:32,12683,"(1293.0, 330.0)","(1094.8609619140625, 653.18408203125)",21.060394437526682,0.00021002276184328432
photo_06313.jpg,photo_06314.jpg,2022-01-15 11:05:18,2022-01-15 11:05:27,9,"(1119.7442626953125, 313.5284118652344)","(1110.786376953125, 304.5704345703125)",4.222809414838287,0.059344548309860724
photo_06313.jpg,photo_07003.jpg,2022-01-15 11:05:18,2022-01-15 13:07:54,7356,"(973.4310302734375, 549.4212036132812)","(257.4720153808594, 618.6240844726562)",102.75653310827688,0.0017668089053201278
photo_06313.jpg,photo_07004.jpg,2022-01-15 11:05:18,2022-01-15 13:08:03,7365,"(973.4310302734375, 549.4212036132812)","(735.8400268554688, 633.6000366210938)",42.010435486553156,0.0007214500855857764
